t,Yt,Ytmin1,Xt
1,3.8,,220
2,4.6,3.8,137
3,0.43,4.6,25
4,9,0.43,355
5,4.97,9,154
6,2.6,4.97,150
7,3.25,2.6,90
8,4.5,3.25,96
9,3.6,4.5,110
10,4.6,3.6,137
11,3,4.6,144
12,6,3,150
13,7.5,6,253
14,14,7.5,700
15,8,14,218
16,0.7,8,75
17,5.5,0.7,230
18,4,5.5,199
19,3.9,4,130
20,5.8,3.9,200
21,3.2,5.8,110
22,8.8,3.2,230
23,1.1,8.8,102
24,10.9,1.1,428
25,3.6,10.9,200
26,4,3.6,120
27,6,4,222
28,6.5,6,200
29,4.5,6.5,154
30,4.5,4.5,105
31,4,4.5,140
32,2.6,4,90
33,5.5,2.6,239
34,15,5.5,643
35,3.5,15,100
36,6,3.5,240
37,8,6,232
38,9.5,8,305
39,4.3,9.5,146
40,3.8,4.3,135
41,4,3.8,175
42,2.5,4,90
43,4.75,2.5,196
44,4.4,4.75,96
45,4.5,4.4,140
46,5,4.5,180
47,4.15,5,135
48,3.8,4.15,130
49,8.1,3.8,240
50,5.25,8.1,108
51,4.5,5.25,145
52,6.2,4.5,200
53,6.5,6.2,200
54,3.5,6.5,112
55,3.199,3.5,149
56,3.2,3.199,130
57,3.799,3.2,130
58,6,3.799,198
59,9.79,6,393
60,5.5,9.79,270
61,3.35,5.5,135
62,0.75,3.35,80
63,3.5,0.75,165
64,4.7,3.5,137
65,3.5,4.7,112
66,2.85,3.5,90
67,3.5,2.85,110
68,3.1,3.5,137
69,4.3,3.1,112
70,5.5,4.3,140
71,6.75,5.5,210
72,3.2,6.75,104
73,8.25,3.2,282
74,3.25,8.25,130
75,3.499,3.25,150
76,3.4,3.499,104
77,5,3.4,160
78,5.6,5,225
79,4.5,5.6,135
80,10.8,4.5,400
81,2.6,10.8,91
82,3.6,2.6,127
83,3.45,3.6,112
84,7.4,3.45,257
85,10,7.4,282
86,3.5,10,108
87,1.7,3.5,80
88,3.5,1.7,141
89,1.3,3.5,90
90,2.8,1.3,90
91,5,2.8,160
92,3.2,5,80
93,5,3.2,150
94,2.2,5,98
95,5.6,2.2,192
96,3.8,5.6,180
97,4,3.8,146
98,15,4,692
99,3.85,15,130
100,4.2,3.85,140
,,4.2,
